Purchase ID,SN,Age,Gender,Item ID,Item Name,Price,Age Range
0,Lisim78,20,Male,108,"Extraction, Quickblade Of Trembling Hands",3.53,19-22
1,Lisovynya38,40,Male,143,Frenzied Scimitar,1.56,39 and Up
2,Ithergue48,24,Male,92,Final Critic,4.88,23-26
3,Chamassasya86,24,Male,100,Blindscythe,3.27,23-26
4,Iskosia90,23,Male,131,Fury,1.44,19-22
5,Yalae81,22,Male,81,Dreamkiss,3.61,19-22
6,Itheria73,36,Male,169,"Interrogator, Blood Blade of the Queen",2.18,35-38
7,Iskjaskst81,20,Male,162,Abyssal Shard,2.67,19-22
8,Undjask33,22,Male,21,Souleater,1.1,19-22
9,Chanosian48,35,Other / Non-Disclosed,136,Ghastly Adamantite Protector,3.58,31-34
10,Inguron55,23,Male,95,Singed Onyx Warscythe,4.74,19-22
11,Haisrisuir60,23,Male,162,Abyssal Shard,2.67,19-22
12,Saelaephos52,21,Male,116,Renewed Skeletal Katana,4.18,19-22
13,Assjaskan73,22,Male,4,Bloodlord's Fetish,1.7,19-22
14,Saesrideu94,35,Male,165,Bone Crushing Silver Skewer,4.86,31-34
15,Lisassa64,21,Female,98,"Deadline, Voice Of Subtlety",2.89,19-22
16,Lisirra25,20,Male,40,Second Chance,2.52,19-22
17,Zontibe81,21,Male,161,Devine,1.76,19-22
18,Reunasu60,22,Female,82,Nirvana,4.9,19-22
19,Chamalo71,30,Male,89,"Blazefury, Protector of Delusions",4.64,27-30
20,Iathenudil29,20,Male,57,"Despair, Favor of Due Diligence",4.6,19-22
21,Phiarithdeu40,20,Male,168,"Sun Strike, Jaws of Twisted Visions",1.48,19-22
22,Siarithria38,38,Other / Non-Disclosed,24,Warped Fetish,3.81,35-38
23,Eyrian71,40,Male,151,Severance,3.4,39 and Up
24,Siala43,30,Male,132,Persuasion,3.19,27-30
25,Lisirra87,29,Male,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23,27-30
26,Lirtossa84,11,Male,71,Demise,1.61,10-14
27,Eusri44,7,Male,96,Blood-Forged Skeletal Spine,3.09,Under 10
28,Aela59,21,Male,119,"Stormbringer, Dark Blade of Ending Misery",4.32,19-22
29,Tyida79,24,Male,37,"Shadow Strike, Glory of Ending Hope",3.16,23-26
30,Idai61,19,Male,140,Striker,2.94,15-18
31,Farusrian86,37,Male,179,"Wolf, Promise of the Moonwalker",4.48,35-38
32,Aeralria27,10,Male,133,Faith's Scimitar,4.09,Under 10
33,Haillyrgue51,7,Male,44,Bonecarvin Battle Axe,2.38,Under 10
34,Sondim73,19,Male,160,Azurewrath,4.4,15-18
35,Jeyciman68,22,Male,53,Vengeance Cleaver,2.05,19-22
36,Idaisuir85,30,Male,76,Haunted Bronzed Bludgeon,3.15,27-30
37,Seuthep89,8,Male,73,Ritual Mace,2.05,Under 10
38,Reulae52,10,Female,116,Renewed Skeletal Katana,4.18,Under 10
39,Sondilsaya62,21,Male,172,Blade of the Grave,3.14,19-22
40,Aerithriaphos45,20,Male,143,Frenzied Scimitar,1.56,19-22
41,Assosia88,20,Female,7,"Thorn, Satchel of Dark Souls",1.33,19-22
42,Aidaillodeu39,18,Male,72,Winter's Bite,3.77,15-18
43,Aelly27,24,Male,116,Renewed Skeletal Katana,4.18,23-26
44,Tyeosri53,24,Male,9,"Thorn, Conqueror of the Corrupted",2.73,23-26
45,Haerith37,23,Male,181,Reaper's Toll,1.66,19-22
46,Yasrisu92,27,Male,102,Avenger,3.44,23-26
47,Chanuchi25,20,Male,170,Shadowsteel,3.97,19-22
48,Asur96,20,Male,138,"Peacekeeper, Wit of Dark Magic",4.74,19-22
49,Iaralrgue74,33,Male,110,Suspension,1.44,31-34
50,Saelaephos52,21,Male,22,Amnesia,2.18,19-22
51,Chanosia34,22,Male,15,Soul Infused Crystal,2.96,19-22
52,Aelin32,20,Male,60,Wolf,3.54,19-22
53,Ilosianya35,32,Male,176,Relentless Iron Skewer,2.84,31-34
54,Zhisrisu83,10,Male,25,Hero Cane,4.35,Under 10
55,Phaelap26,25,Female,84,Arcane Gem,3.79,23-26
56,Raesty92,12,Male,108,"Extraction, Quickblade Of Trembling Hands",3.53,10-14
57,Palyon91,21,Male,80,Dreamsong,3.39,19-22
58,Tyisur83,23,Male,152,Darkheart,1.74,19-22
59,Yaliru88,19,Male,105,Hailstorm Shadowsteel Scythe,3.03,15-18
60,Yadanu52,34,Male,44,Bonecarvin Battle Axe,2.38,31-34
61,Jiskimya77,17,Male,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23,15-18
62,Yadaphos40,30,Male,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23,27-30
63,Alo38,20,Male,125,Whistling Mithril Warblade,1.0,19-22
64,Phaena87,20,Male,56,Foul Titanium Battle Axe,2.92,19-22
65,Chamirraya83,25,Male,34,Retribution Axe,2.22,23-26
66,Chanastsda67,21,Female,6,Rusty Skull,3.7,19-22
67,Lisim78,20,Male,138,"Peacekeeper, Wit of Dark Magic",4.74,19-22
68,Indonmol95,15,Male,27,"Riddle, Tribute of Ended Dreams",3.3,10-14
69,Jiskossa61,24,Male,37,"Shadow Strike, Glory of Ending Hope",3.16,23-26
70,Pheodai94,29,Male,143,Frenzied Scimitar,1.56,27-30
71,Hari50,20,Female,29,"Chaos, Ender of the End",1.98,19-22
72,Marilsa69,25,Female,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23,23-26
73,Assistasda42,21,Male,68,"Storm-Weaver, Slayer of Inception",4.32,19-22
74,Lisosia93,25,Male,89,"Blazefury, Protector of Delusions",4.64,23-26
75,Philodil43,33,Male,124,Venom Claymore,1.29,31-34
76,Mindadaran26,13,Female,88,"Emberling, Defender of Delusions",3.75,10-14
77,Lirtosia63,34,Male,20,Netherbane,3.27,31-34
78,Haillyrgue51,7,Male,50,Dawn,4.6,Under 10
79,Assjaskan56,26,Male,15,Soul Infused Crystal,2.96,23-26
80,Irithlis29,23,Male,165,Bone Crushing Silver Skewer,4.86,19-22
81,Heudai45,8,Female,174,Primitive Blade,3.47,Under 10
82,Haerithp41,16,Other / Non-Disclosed,160,Azurewrath,4.4,15-18
83,Aina42,25,Male,12,Dawne,1.02,23-26
84,Jiskjask60,21,Female,34,Retribution Axe,2.22,19-22
85,Umolrian85,32,Female,33,Curved Axe,1.16,31-34
